Sl.No,State,Zone,District,Sub District,P/M/C,Name of Local Body,Name Of Ward,
1,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,RAMAPURAM,
2,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ATHIYANNOOR,
3,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ARANGAMUGAL,
4,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,OORUTTUKALA,
5,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KODANGAVILA,
6,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KAMUKINCODE,
7,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,SASTHAMTHALA,
8,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,VENPAKAL,
9,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,BHASKERNAGER,
10,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ARANGAL,
11,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,PONGIL,
12,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,NELLIMOODU,
13,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KANNARAVILA,
14,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,POOTHAMCODE,
15,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,MARUTHAMCODE,
16,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,SABARIMUTTAM,
17,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,THANNIMOODU,
18,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ERUTHAVOOR,
19,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,RUSSELPURAM,
20,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PARAKKUZHI,
21,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PUNNAKKADU,
22,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,THALAYAL,
23,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PULLIYIL,
24,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,TOWN WARD,
25,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,THOPPU,
26,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ANTHIYOOR,
27,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,RAMAPURAM,
28,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,KOTTUKALKONAM,
29,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PALACHALKONAM,
30,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PANAYARAKUNNU,
31,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,NELLIVILA,
32,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,EDAMANAKUZHI,
33,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,R C STREET,
34,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,CHAMAVILA,
35,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ITHIYOOR,
36,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,MANALI,
37,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,OFFICE WARD,
38,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KEEZHKOLLA,
39,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,VATTAVILA,
40,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KUDUMBOTTUKONAM,
41,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KOCHOTTUKONAM,
42,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,UDHIYANKULANGARA,
43,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KOTTAMAM,
44,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,ARAYOOR,
45,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,ARAYOOR KIZHAKKU,
46,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,PONVILA,
47,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,THOTTINKARA,
48,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,PORANNOOR,
49,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,MELAMMAKAM,
50,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KODANKARA,
51,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,MARIAPURAM,
52,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KUNNANVILA,
